time,accx,accy,accz
2874, -4674,  4276,  6115
2885, -4631,  4405,  6037
2894, -4604,  4642,  5974
2905, -4630,  4946,  5921
2915, -4638,  5294,  5888
2924, -4595,  5562,  5865
2935, -4597,  5776,  5807
2944, -4649,  5876,  5801
2955, -4726,  5823,  5895
2965, -4881,  5617,  6125
2974, -5146,  5338,  6457
2985, -5460,  5046,  6789
2994, -5658,  4771,  7055
3005, -5751,  4512,  7243
3014, -5778,  4266,  7297
3024, -5716,  4040,  7247
3035, -5605,  3849,  7117
3044, -5445,  3706,  6975
3055, -5286,  3629,  6827
3065, -5127,  3620,  6628
3074, -4927,  3654,  6437
3085, -4758,  3693,  6278
3094, -4665,  3738,  6138
3105, -4613,  3817,  6034
3114, -4572,  3906,  5950
3124, -4539,  3964,  5881
3135, -4503,  4014,  5834
3144, -4505,  4097,  5777
3155, -4488,  4253,  5690
3164, -4419,  4431,  5591
3174, -4293,  4472,  5460
3185, -4154,  4244,  5364
3194, -3932,  3880,  5381
3204, -3766,  3712,  5455
3215, -3724,  3794,  5561
3224, -3761,  4160,  5731
3235, -3893,  4725,  5895
3244, -4045,  5295,  6072
3254, -4149,  5716,  6316
3265, -4329,  6028,  6467
3274, -4467,  6277,  6512
3285, -4480,  6333,  6507
3294, -4423,  6118,  6498
3305, -4349,  5735,  6510
3314, -4325,  5176,  6551
3324, -4325,  4528,  6675
3335, -4395,  4027,  6831
3344, -4510,  3835,  6916
3354, -4607,  3915,  6873
3365, -4590,  4075,  6705
3374, -4533,  4001,  6453
3385, -4443,  3664,  6195
3394, -4267,  3275,  5976
3405, -4059,  2938,  5782
3414, -3889,  2733,  5593
3424, -3740,  2712,  5470
3435, -3655,  2822,  5439
3444, -3678,  2964,  5415
3453, -3789,  3158,  5430
3464, -3994,  3158,  5647
3474, -4277,  3036,  6112
3485, -4700,  3082,  6600
3494, -5025,  3308,  6945
3503, -5062,  3511,  7039
3514, -4890,  3660,  6920
3524, -4579,  3722,  6698
3535, -4204,  3585,  6535
3544, -3997,  3467,  6489
3553, -4090,  3533,  6478
3564, -4341,  3816,  6533
3574, -4551,  4254,  6605
3584, -4682,  4628,  6637
3594, -4646,  4641,  6638
3605, -4582,  4396,  6611
3614, -4487,  4035,  6408
3623, -4269,  3788,  6120
3635, -3903,  3716,  5826
3644, -3545,  3908,  5570
3653, -3266,  4250,  5341
3664, -3084,  4462,  5189
3674, -2937,  4440,  5151
3685, -2855,  4271,  5275
3694, -2854,  4010,  5459
3703, -2987,  3891,  5567
3714, -3103,  3940,  5587
3723, -3162,  4093,  5535
3734, -3175,  4222,  5495
3743, -3162,  4122,  5537
3755, -3109,  3885,  5607
3764, -3085,  3694,  5690
3773, -3116,  3737,  5737
3784, -3137,  4082,  5757
3794, -3103,  4621,  5876
3805, -3132,  5148,  6062
3814, -3299,  5503,  6243
3823, -3519,  5562,  6335
3834, -3674,  5334,  6300
3844, -3647,  5060,  6169
3853, -3570,  4995,  5983
3864, -3514,  5042,  5794
3873, -3433,  5214,  5663
