time,accx,accy,accz
3853,     1,   794,   -75
3864,    57,   821,  -251
3873,   144,   983,  -371
3883,   255,  1187,  -431
3894,   386,  1352,  -403
3903,   454,  1401,  -356
3914,   475,  1325,  -237
3923,   400,  1314,   -20
3934,   190,  1399,   243
3944,   -90,  1552,   499
3953,  -347,  1676,   664
3964,  -401,  1722,   834
3973,  -364,  1817,   977
3984,  -359,  1848,  1044
3994,  -298,  1795,  1110
4003,  -227,  1691,  1126
4014,  -195,  1690,  1123
4023,  -229,  1611,  1059
4034,  -249,  1362,   971
4044,  -205,  1120,   900
4053,  -142,   931,   867
4064,  -124,   900,   868
4073,  -156,   985,   902
4084,  -219,  1114,   954
4093,  -312,  1300,   973
4104,  -377,  1479,   930
4113,  -345,  1674,   864
4123,  -268,  1836,   808
4134,  -241,  1875,   769
4143,  -239,  1753,   737
4154,  -220,  1411,   704
4163,  -180,  1015,   638
4174,  -110,   686,   596
4183,   -93,   549,   590
4193,  -135,   599,   623
4204,  -179,   660,   691
4213,  -266,   697,   798
4224,  -366,   754,   885
4233,  -422,   749,   906
4243,  -394,   681,   820
4254,  -266,   575,   692
4263,  -120,   490,   552
4273,   -13,   458,   419
4284,    44,   414,   328
4293,    45,   359,   301
4304,   -29,   400,   354
4313,  -144,   511,   419
4322,  -215,   567,   466
4333,  -223,   573,   503
4343,  -255,   594,   514
4352,  -270,   628,   449
4363,  -183,   618,   328
4373,   -76,   582,   172
4384,    15,   536,    69
4393,    51,   502,   104
4404,   -40,   462,   224
4413,  -153,   388,   382
4422,  -229,   305,   523
4433,  -249,   240,   625
4443,  -239,   242,   709
4454,  -251,   312,   756
4463,  -224,   373,   729
4473,  -115,   373,   653
4484,     9,   344,   589
4493,    98,   321,   581
4502,    95,   311,   665
4513,    22,   279,   799
4523,   -68,   230,   926
4534,  -123,   212,   987
4543,  -109,   223,   980
4552,   -48,   242,   934
4563,    -9,   291,   882
4573,    -4,   371,   827
4582,    29,   432,   801
4593,    30,   504,   798
4602,   -20,   578,   788
4613,   -69,   620,   781
4623,   -86,   597,   743
4634,   -98,   515,   663
4643,  -118,   394,   596
4652,  -210,   263,   574
4663,  -369,   141,   577
4672,  -554,    70,   584
4683,  -797,    18,   594
4693, -1155,   -51,   567
4702, -1580,  -116,   524
4713, -2050,  -199,   511
4723, -2532,  -253,   605
4733, -3033,  -236,   860
4743, -3621,  -282,  1215
4752, -4212,  -309,  1595
4763, -4681,  -294,  1843
4773, -4863,  -194,  1777
