time,gyrx,gyry,gyrz
3614,   -19,   -62,     6
3623,   -18,   -74,    -1
3632,   -15,   -80,   -11
3643,   -13,   -80,   -21
3653,   -12,   -77,   -28
3664,   -13,   -74,   -29
3673,   -15,   -69,   -29
3682,   -15,   -64,   -27
3693,   -18,   -55,   -22
3703,   -16,   -44,   -30
3713,   -10,   -37,   -37
3723,    -6,   -29,   -35
3732,    -8,   -13,   -31
3743,    -5,    -4,   -31
3752,    -2,    -8,   -34
3763,     1,    -8,   -20
3773,    -6,    -1,   -14
3784,    -7,     7,   -14
3793,   -14,     1,   -26
3802,   -21,   -13,   -38
3813,   -36,   -39,   -36
3822,   -24,   -27,   -30
3833,   -21,   -33,   -60
3843,   -28,   -57,   -49
3854,   -45,   -74,   -28
3863,   -56,   -83,    -9
3872,   -59,   -76,     6
3883,   -51,   -46,    15
3892,   -35,    -3,    19
3903,   -19,    39,    14
3913,    -7,    67,     2
3922,    -1,    81,    -9
3933,     0,    83,   -19
3942,    -3,    74,   -25
3953,    -8,    54,   -26
3963,   -14,    29,   -22
3972,   -17,     2,   -15
3983,   -20,   -18,    -7
3992,   -24,   -31,    -2
4003,   -30,   -37,     4
4012,   -36,   -38,     6
4023,   -36,   -33,     6
4033,   -30,   -23,     2
4042,   -19,   -11,    -5
4053,    -9,    -1,   -12
4062,    -3,     4,   -14
4073,    -1,     2,   -11
4082,    -3,    -4,    -6
4092,    -5,   -12,    -1
4103,    -7,   -16,     4
4112,   -12,   -15,     8
4123,   -19,   -10,    11
4132,   -23,    -6,    11
4143,   -24,    -5,    11
4152,   -23,    -8,    11
4162,   -21,   -12,     9
4173,   -17,   -14,     5
4182,   -13,   -15,     2
4193,   -10,   -14,     0
4202,    -8,   -11,     1
4213,    -8,    -7,     4
4222,    -9,    -4,     4
4232,   -11,    -4,     3
4243,   -17,    -9,     3
4252,   -24,   -15,     7
4263,   -28,   -21,    14
4272,   -29,   -25,    19
4282,   -27,   -26,    21
4293,   -23,   -22,    19
4302,   -17,   -18,    13
4313,   -13,   -16,     8
4322,   -11,   -16,     5
4333,   -10,   -17,     4
4342,    -9,   -19,     5
4352,   -10,   -19,     8
4363,   -11,   -19,    11
4372,   -11,   -20,    14
4383,   -10,   -21,    15
4392,   -11,   -22,    14
4401,   -12,   -21,    15
4412,   -13,   -18,    15
4422,   -11,   -13,    13
4433,   -10,    -9,    11
4442,    -9,    -6,    10
4451,   -10,    -4,    10
4462,   -11,    -4,    11
4472,   -13,    -5,    13
4483,   -13,    -6,    15
4492,   -14,    -6,    15
4503,   -15,    -6,    15
4512,   -15,    -6,    14
4521,   -15,    -5,    17
4532,   -16,    -4,    19
4542,   -15,    -4,    20
4553,   -14,    -5,    18
4562,   -13,    -7,    16
4571,   -12,    -8,    13
4582,   -12,   -10,    13
4592,   -22,   -44,    38
4603,   -21,   -26,    26
4612,   -18,   -22,    36
4621,   -23,   -24,    30
4632,   -16,    -4,    18
4642,   -12,     4,    13
4653,   -14,     0,    12
4662,   -16,    -3,    14
4671,   -17,    -9,    16
4683,   -18,   -17,    15
4692,   -17,   -21,    14
4701,   -18,   -22,    16
4712,   -18,   -20,    16
4722,   -16,   -14,    12
4733,   -15,   -10,     9
4742,   -21,    -5,    15
4751,   -12,     5,    17
4762,    -3,    10,     4
4772,    -5,    -5,     9
4781,    -8,   -15,     9
4792,    -8,   -16,     5
4801,    -9,   -13,     6
4812,   -13,   -12,     4
4822,   -15,   -10,     2
4831,   -16,    -7,    -1
4842,   -17,    -6,    -4
4851,   -18,    -7,    -7
4862,   -17,   -10,   -10
4871,   -16,   -16,   -12
4882,   -14,   -20,   -15
4892,   -12,   -20,   -16
4901,   -15,   -17,   -15
4912,   -22,   -11,   -19
4921,   -32,    -8,   -23
4932,   -42,    -8,   -29
4942,   -71,    -9,   -51
